Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
2,C,CENSTO,2023,S,W,5,0,5,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,80,10,0,0
2,D,CENSTO,2023,S,C,0,0,0,0,1,0,1,0,5,1,5,1,0,5,2,0,75,0,0,5,15,75,82
3,A,BROTEC,2023,T,C,0,0,0,0,1,0,0.1,10,1,55,0,5,0,55,5,0.1,1,0,0,10,35,1.1,61.1
3,B,BROTEC,2023,T,W,0.1,5,5,15,30,5,0,1,5,0,0,0,0,0,0,0,0,0,0,25,20,0,0
3,C,BROTEC,2023,S,C,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,35,0.1,10,30,25,35,40
3,D,BROTEC,2023,S,W,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,65,35,0,0
3,A,CENSTO,2023,T,W,0,0,5,0,20,5,10,15,20,0,0,0,0,0,0,0,0,0,0,10,25,0,0
3,B,CENSTO,2023,T,C,10,1,0,0,1,0,5,1,10,15,5,5,0,5,20,0,65,0,0,5,30,65,90
3,C,CENSTO,2023,S,W,10,0,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,55,25,0,0
3,D,CENSTO,2023,S,C,0.1,0,0,0.1,1,0,0,0,0.1,5,5,5,0,5,10,0,60,0.1,0,15,20,60,75
3,A,EUPESU,2023,S,W,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,15,0,0
3,B,EUPESU,2023,S,C,1,0,0,0,0,0,0,0,1,5,0,5,0,5,5,0,50,0,5,30,5,50,60
3,C,EUPESU,2023,T,W,0,0,0,1,10,5,5,5,40,0,0,0,0,0,0,0,0,0,0,40,5,0,0
3,D,EUPESU,2023,T,C,0,0,0,0,0,0,5,10,5,45,0,5,0,5,45,1,10,0,0,15,15,11,61
3,A,POTREC,2023,T,W,0,0,0,0,0,25,0,5,5,0,0,0,0,0,0,0,0,0,0,35,30,0,0
3,B,POTREC,2023,T,C,0,0,0.1,0,0,5,0,10,20,10,0,0,5,5,10,0,5,0,0,30,25,5,20
3,C,POTREC,2023,S,C,0,0,0,0,0,5,0,0,5,0,0,0.1,0,0,0.1,0,35,0,0,35,20,35,35.1
3,D,POTREC,2023,S,W,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,75,10,0,0
3,A,Native,2023,S,C,0.1,0,0,0,0,5,1,0,5,0,0,1,0,0,1,0,25,0,5,40,20,25,26
3,B,Native,2023,S,W,1,0,1,0,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,65,20,0,0
3,C,Native,2023,T,C,5,5,0.1,0,10,0,1,5,15,5,10,0.1,10,0,25.1,0,20,0,0,20,15,20,45.1
3,D,Native,2023,T,W,0,0,5,0,75,5,5,1,25,0,0,0,0,0,0,0,0,0,0,10,1,0,0
4,A,EUPESU,2023,T,C,0,0,0,0,0,0,0,5,0,75,0,0,0,0,75,1,0,0,0,5,25,1,76
4,B,EUPESU,2023,T,W,0,0,0,0,20,5,0,5,20,0,0,0,0,0,0,0,0,0,0,40,10,0,0
4,C,EUPESU,2023,S,C,0,0,0,0,0,0,0,0,1,10,0,10,0,10,10,20,20,0,0,30,25,40,60
4,D,EUPESU,2023,S,W,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0.1,0,80,10,0,0
4,A,Native,2023,S,C,0,0,0,0,0,0,1,0,0,5,1,0,0,0,6,5,30,1,0,20,40,35,41
4,B,Native,2023,S,W,1,0,1,1,10,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,40,45,0,0
4,C,Native,2023,T,C,0,0,0,0.1,1,0,0,5,0,1,0,5,0,0,6,35,20,0,0,10,35,55,61
4,D,Native,2023,T,W,0,5,10,5,50,0,1,5,10,0,0,0,0,0,0,0,0,0,0,10,15,0,0
4,A,CENSTO,2023,S,C,0,0,0,0.1,0,0,0,0,1,10,1,15,0,1,25,0,65,0,1,10,10,65,91
4,B,CENSTO,2023,S,W,0,0,10,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,65,20,0,0
4,C,CENSTO,2023,T,C,0.1,0,0,0,0,1,1,0,1,30,10,1,0,10,31,10,35,0,0,10,25,45,86
4,D,CENSTO,2023,T,W,5,0,0,0,40,5,15,10,25,0,0,0,0,0,0,0,0,0,0,20,10,0,0
4,A,POTREC,2023,S,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,60,40,0,0
4,B,POTREC,2023,S,C,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,50,0,0,5,20,50,100
4,C,POTREC,2023,T,W,0,0,0,0,20,10,0,20,20,0,0,0,0,0,0,0,0,0,0,35,15,0,0
4,D,POTREC,2023,T,C,0,0,0,0,0,0,5,1,1,70,0,1,0,0,71,0,15,0,0,10,10,15,86
4,A,BROTEC,2023,S,C,0,0,0,0,0,0,0,0,0,50,0,10,0,50,10,5,10,0,5,15,20,15,75
4,B,BROTEC,2023,S,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,55,25,0,0
4,C,BROTEC,2023,T,W,10,5,10,1,20,1,15,5,5,0,0,0,0,0,0,0,0,0,0,20,20,0,0
4,D,BROTEC,2023,T,C,0.1,0,0.1,0.1,10,0,0,0,0,70,0,0,0,70,0,1,5,0,0,1,30,6,76
5,A,POTREC,2023,T,W,0,0,0,0,0,5,5,25,30,0,0,0,0,0,0,0,0,0,0,40,5,0,0
5,B,POTREC,2023,T,C,0,0,0,0,0,5,0,5,1,10,0,0,0,0,10,60,20,0,0,5,15,80,90
5,C,POTREC,2023,S,C,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,45,0,0,50,10,45,45
5,D,POTREC,2023,S,W,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,55,40,0,0
5,A,BROTEC,2023,S,C,1,1,0,1,1,0.1,0,0,0,5,0,5,1,5,6,1,15,0,25,35,20,16,27
5,B,BROTEC,2023,S,W,0.1,0,1,0,10,0.1,0,0,10,0,0,0,0,0,0,0,0,0,0,50,30,0,0
5,C,BROTEC,2023,T,W,0,5,10,5,30,5,0,5,10,0,0,0,0,0,0,0,0,0,0,15,10,0,0
5,D,BROTEC,2023,T,C,0,0,0.1,0,5,1,0,10,5,15,0,0,0,15,0,50,25,0,0,1,10,75,90
5,A,EUPESU,2023,S,W,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,85,5,0,0
5,B,EUPESU,2023,S,C,0,0,0,0,0,0,1,0,5,5,0,1,0,1,5,1,60,0,5,15,10,61,67
5,C,EUPESU,2023,T,W,0,1,5,1,40,15,0,10,10,0,0,0,0,0,0,0,0,0,0,20,10,0,0
5,D,EUPESU,2023,T,C,0,0,0.1,0,0.1,0,1,10,5,5,0,5,0,5,5,40,25,0,0,1,25,65,75
5,A,Native,2023,T,W,0.1,5,1,5,30,1,5,10,5,0,0,0,0,0,0,0,0,0,0,25,15,0,0
5,B,Native,2023,T,C,0,0,0,0,1,1,0,5,5,1,0,0,0,0,1,15,75,0,0,5,25,90,91
5,C,Native,2023,S,C,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,2.1,45,35,0,0,10,25,80,82.1
5,D,Native,2023,S,W,20,0,1,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,80,5,0,0
5,A,CENSTO,2023,T,W,15,1,10,1,25,5,20,10,5,0,0,0,0,0,0,0,0,0,0,15,5,0,0
5,B,CENSTO,2023,T,C,0,0,0,0,5,0,0,1,0,20,10,0,0,10,20,0,70,0,0,1,25,70,100
5,C,CENSTO,2023,S,C,0,0.1,0,0.1,1,0,0.1,0,1,1,5,1,0,5,2,0,75,0,0,15,20,75,82
5,D,CENSTO,2023,S,W,0,5,0.1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,25,0,0
1,A,CENSTO,2024,S,W,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0
1,B,CENSTO,2024,S,C,0,0,0,0,5,0,0,0,0,0.1,5,0,0,5,0.1,0,85,0,0.1,5,30,85,90.1
1,C,CENSTO,2024,T,W,0.1,1,15,0,25,5,0,5,1,0,0,0,0,0,0,0,0,0,0,50,1,0,0
1,D,CENSTO,2024,T,C,0,0,1,0,1,0,0,0,0,0,60,1,0,60,1,0,5,0,0,1,55,5,66
1,A,BROTEC,2024,T,C,1,1,0.1,0,5,0,0,0,0.1,0.1,5,0,0,0.1,5,0,50,0,0.1,1,60,50,55.1
1,B,BROTEC,2024,T,W,15,1,5,0,25,1,1,1,5,0,0,0,0,0,0,0,0,0,0,15,45,0,0
1,C,BROTEC,2024,S,W,0.1,0,5,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,0,0
1,D,BROTEC,2024,S,C,0,0,0,0,1,0,0,0,0,10,5,0,0,10,5,50,10,0,0,1,30,60,75
1,A,POTREC,2024,S,C,0,0,0,0,1,0,0,0,0,70,0,0,1,1,70,0,5,0,0,1,55,5,76
1,B,POTREC,2024,S,W,25,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,65,5,0,0
1,C,POTREC,2024,T,C,0.1,0,0,0,15,5,0,5,1,20,0,0,30,30,20,5,0,0,0,5,40,5,55
1,D,POTREC,2024,T,W,0,0,1,0,0,10,1,10,15,0,0,0,0,0,0,0,0,0,0,60,10,0,0
1,A,Native,2024,T,W,25,0,5,0,40,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,25,0,0
1,B,Native,2024,T,C,0.1,5,0,0,20,0,0,5,10,1,0,0.1,5,0,6.1,5,1,0,0,15,40,6,12.1
1,C,Native,2024,S,W,25,0,0,0,45,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,10,0,0
1,D,Native,2024,S,C,0,0,0,0,10,5,0,0,0,0,0,1,0,0,1,50,5,0,1,5,35,55,56
1,A,EUPESU,2024,T,W,5,5,0,0,40,10,1,5,5,0,0,0,0,0,0,0,0,0,0,30,5,0,0
1,B,EUPESU,2024,T,C,0,0,0,0,1,0,0,10,1,1,0.1,1,0,1,1.1,75,1,0,0,1,25,76,78.1
1,C,EUPESU,2024,S,W,0,0,0,0,0.1,10,0,10,10,0,0,0,0,0,0,0,0,0,0,70,1,0,0
1,D,EUPESU,2024,S,C,0,0,0,0,5,0,1,0,1,1,0,0,0,0,1,80,1,0,0,1,20,81,82
2,A,Native,2024,T,C,0,5,0,0,55,0,0,0,0,1,5,1,0,0,7,0,1,0,0,5,35,1,8
2,B,Native,2024,T,W,1,0,15,0,35,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,25,0,0
2,C,Native,2024,S,C,0,0,0,0,35,0,0,0,0.1,5,0,0,0,0,5,0,20,0,5,1,45,20,25
2,D,Native,2024,S,W,0,0,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,5,0,0
2,A,POTREC,2024,T,C,0,0,0,0,1,0,0,5,0,10,1,0,0.1,0.1,11,25,0,0,1,10,45,25,36.1
2,B,POTREC,2024,T,W,0.1,0,0,0,30,20,0,10,5,0,0,0,0,0,0,0,0,0,0,20,20,0,0
2,C,POTREC,2024,S,C,0,0,0,0,0,1,0,0,0,40,0,0,1,1,40,1,0.1,0,0,15,50,1.1,42.1
2,D,POTREC,2024,S,W,0,0,10,0,0,5,0,10,0,0,0,0,0,0,0,0,0,1,0,2,75,0,0
2,A,BROTEC,2024,S,W,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1,0,0
2,B,BROTEC,2024,S,C,0,0,0,0,1,0,1,0,0.1,40,0,5,0.1,40,5.1,0,5,0,0.1,5,50,5,50.1
2,C,BROTEC,2024,T,W,1,0,1,0,50,5,0,5,15,0,0,0,0,0,0,0,0,0,0,25,5,0,0
2,D,BROTEC,2024,T,C,0,0,0,0,0,0,0,0,0.1,15,0,20,5,15,25,0,5,0,1,5,60,5,45
2,A,EUPESU,2024,S,W,0,0,0,0,0.1,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0
2,B,EUPESU,2024,S,C,0,0,0,0,0,0,1,0,5,10,0,1,0,1,10,85,5,0,1,5,10,90,101
2,C,EUPESU,2024,T,C,0,0,0,0,0,0,0,0,5,20,0,5,0,5,20,0.1,1,0,1,10,65,1.1,26.1
2,D,EUPESU,2024,T,W,0.1,0,0,0,45,10,0,10,5,0,0,0,0,0,0,0,0,0,0,35,1,0,0
2,A,CENSTO,2024,T,C,0,0,0,0,15,0,0,1,5,10,20,0,0,20,10,0,15,0,0.1,15,35,15,45
2,B,CENSTO,2024,T,W,0,10,5,0,25,10,0,5,35,0,0,0,0,0,0,0,0,0,0,15,5,0,0
2,C,CENSTO,2024,S,W,15,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0
2,D,CENSTO,2024,S,C,0,0,1,0,1,0,0,0,5,35,30,0.1,0,30,35.1,0,5,0,1,1,30,5,70.1
3,A,BROTEC,2024,T,C,0,0,0,0,5,0,0,1,1,15,0,10,0,15,10,0,1,0,5,5,70,1,26
3,B,BROTEC,2024,T,W,0,0,10,0,70,10,0,5,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0
3,C,BROTEC,2024,S,C,0,0,0,0,0,5,0,0,0,40,0,0,0,40,0,0,5,1,5,5,50,5,45
3,D,BROTEC,2024,S,W,1,0,0,0,0.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0
3,A,CENSTO,2024,T,W,1,0,0,0,45,5,0,5,15,0,0,0,0,0,0,0,0,0,0,15,25,0,0
3,B,CENSTO,2024,T,C,0,5,0,0,0,0,0,0,0,5,1,1,0,1,6,0,55,0,0,1,60,55,62
3,C,CENSTO,2024,S,W,15,0,1,0,25,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,60,5,0,0
3,D,CENSTO,2024,S,C,0,0,0,0,0.1,0,0,0,0.1,35,5,1,0,5,36,0,65,0,1,5,35,65,106
3,A,EUPESU,2024,S,W,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,90,1,0,0
3,B,EUPESU,2024,S,C,0,0,0,0,1,0,1,0,5,40,0,5,0,5,40,1,10,0,5,5,40,11,56
3,C,EUPESU,2024,T,W,0.1,0,0,0,25,5,1,0,35,0,0,0,0,0,0,0,0,0,0,35,5,0,0
3,D,EUPESU,2024,T,C,0,0,0,0,0,0,0,0,5,40,0,10,0,10,40,0,10,0,0.1,10,40,10,60
3,A,POTREC,2024,T,W,0,0,0,0,0,35,0,10,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0
3,B,POTREC,2024,T,C,0,0,0,0,0,10,0,10,5,1,0,0,15,15,1,5,10,0,0,15,35,15,31
3,C,POTREC,2024,S,C,0,0,0,0,0,10,0,0,5,1,0,0,0,0,1,0,40,0,0,5,45,40,41
3,D,POTREC,2024,S,W,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,75,1,0,0
3,A,Native,2024,S,C,0.1,0,0,0,1,5,1,0,1,5,1,1,0,0,7,0,25,0,0,25,40,25,32
3,B,Native,2024,S,W,1,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0
3,C,Native,2024,T,C,0,5,0,0,20,0,0,5,15,1,15,1,5,0,22,0,1,0,0.1,10,30,1,23
3,D,Native,2024,T,W,0,1,5,0,85,5,0,1,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0
4,A,EUPESU,2024,T,C,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,15,0,0,10,80,15,20
4,B,EUPESU,2024,T,W,0,0,0,0,40,10,0,0,15,0,0,0,0,0,0,0,0,0,0,40,1,0,0
4,C,EUPESU,2024,S,C,0,0,0,0,1,0,0,0,1,5,0,10,0,10,5,0,35,0,25,5,30,35,50
4,D,EUPESU,2024,S,W,0.1,0,0,0,1,15,0,0,15,0,0,0,0,0,0,0,0,0,0,70,1,0,0
4,A,Native,2024,S,C,0,0,0,0,10,0,0,0,1,0.1,15,1,0,0,16.1,0.1,60,0,0,5,20,60.1,76.2
4,B,Native,2024,S,W,1,0,1,0,85,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,1,0,0
4,C,Native,2024,T,C,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.1,70,0,0,10,30,70.1,71.1
4,D,Native,2024,T,W,0,5,0,0.1,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5,0,0
4,A,CENSTO,2024,S,C,0,0,0,0,0,0,0,0,1,30,1,5,0,1,35,1,25,0,1,5,40,26,62
4,B,CENSTO,2024,S,W,0,0,30,0,0.1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,55,5,0,0
4,C,CENSTO,2024,T,C,0,0,0,0,0,0,0,0,0,5,1,0,0,1,5,35,10,0,1,10,55,45,51
4,D,CENSTO,2024,T,W,0.1,0,0,0,50,5,0,5,15,0,0,0,0,0,0,0,0,0,0,20,10,0,0
4,A,POTREC,2024,S,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,0
4,B,POTREC,2024,S,C,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,60,0,0.1,10,40,61,66
4,C,POTREC,2024,T,W,0.1,0,0,0,20,10,0,15,1,0,0,0,0,0,0,0,0,0,0,55,5,0,0
4,D,POTREC,2024,T,C,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,25,0,0,5,75,25,27
4,A,BROTEC,2024,S,C,0,0,0,0,0,0,0,0,1,85,0,10,0,85,10,1,0.1,0,0.1,1,25,1.1,96.1
4,B,BROTEC,2024,S,W,1,0,0,0,0.1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,80,1,0,0
4,C,BROTEC,2024,T,W,5,5,10,0,25,5,0,5,5,0,0,0,0,0,0,0,0,0,0,35,10,0,0
4,D,BROTEC,2024,T,C,0,0,0,0,25,0,0,0,0,25,0.1,0,0,25,0.1,0,15,0,0.1,5,45,15,40.1
5,A,POTREC,2024,T,W,0,0,0,0,0,5,0,10,20,0,0,0,0,0,0,0,0,0,0,45,25,0,0
5,B,POTREC,2024,T,C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,20,55,0,0,5,30,75,76
5,C,POTREC,2024,S,C,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,30,0,0,15,50,35,36
5,D,POTREC,2024,S,W,0,0,0,0,20,5,0,0,10,0,0,0,0,0,0,0,0,0,0,70,1,0,0
5,A,BROTEC,2024,S,C,0,0,0,0,20,0,0,0,0,10,0,1,0,10,1,5,5,0,15,20,30,10,21
5,B,BROTEC,2024,S,W,0,0,1,0,40,5,0,5,10,0,0,0,0,0,0,0,0,0,0,40,5,0,0
5,C,BROTEC,2024,T,W,1,1,5,0,55,5,0,0,10,0,0,0,0,0,0,0,0,0,0,30,10,0,0
5,D,BROTEC,2024,T,C,0,0,0,0,20,0,0,0,1,1,0,5,0.1,1,5.1,35,10,0,0.1,5,35,45,51.1
5,A,EUPESU,2024,S,W,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,0,0,0,60,1,0,0
5,B,EUPESU,2024,S,C,0,0,0,0,0,0,0,0,0,1,1,5,0,5,2,75,15,0,1,5,10,90,97
5,C,EUPESU,2024,T,W,0,0,0,0,60,10,0,5,15,0,0,0,0,0,0,0,0,0,0,15,5,0,0
5,D,EUPESU,2024,T,C,0,0,0,0,1,0,0,1,1,5,0,1,0,1,5,85,10,0,0,1,10,95,101
5,A,Native,2024,T,W,0.1,0,5,0,65,1,0,10,5,0,0,0,0,0,0,0,0,0,0,20,1,0,0
5,B,Native,2024,T,C,0,0,0,0,5,0,0,0,1,0.1,0,0,10,0,10.1,65,30,0,0,1,15,95,105.1
5,C,Native,2024,S,C,0,0,0,0,1,0,0,0,0,20,1,1,0,0,22,70,10,0,0,1,15,80,102
5,D,Native,2024,S,W,10,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,10,0,0
5,A,CENSTO,2024,T,W,1,20,15,0,25,5,1,10,5,0,0,0,0,0,0,0,0,0,0,20,5,0,0
5,B,CENSTO,2024,T,C,0,1,0,0,10,0,0,0,0,1,5,0,0,5,1,0,30,0,0,5,60,30,36
5,C,CENSTO,2024,S,C,1,0,0,0,0,0,1,0,0,1,40,0,0,40,1,1,45,0,0,1,20,46,87
5,D,CENSTO,2024,S,W,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,95,5,0,0