LegacySpp,Rep,Year,SOM,Nitrate,pH,K,S,Zn,Fe,Mn,Cu,Ca,Mg,Na,CEC,P
Cheatgrass,1,2022,5,51.3,6.1,363,34.4,4.07,31.5,47,0.82,1517,259,55,13.9,53
Cheatgrass,2,2022,4.5,55.6,6.8,672,27.5,1.65,19.8,14.6,0.64,1700,271,48,12.7,75
Cheatgrass,3,2022,4.7,33,6,452,26,2.08,34.7,34.2,0.92,1542,233,44,14.4,65
Cheatgrass,4,2022,5.1,45.1,7,663,26.7,2.33,19.7,12.4,1.07,1988,386,60,15.1,83
Cheatgrass,5,2022,6.5,49.9,6.6,582,25,2.11,22.2,8.9,0.73,1804,285,56,13.1,70
Knapweed,1,2022,4.8,37.5,5.9,356,29.9,2.45,32.4,23.8,0.91,1554,228,53,13.8,54
Knapweed,2,2022,4.6,51.3,7,701,30.3,1.73,17.3,10,1.07,1595,250,42,12,78
Knapweed,3,2022,3.4,26.6,7,435,24,7.54,19.5,15.1,0.82,1765,312,53,12.8,65
Knapweed,4,2022,3.9,30.1,6.7,422,24.7,1.12,22.3,17.6,1.06,1550,258,61,11.2,52
Knapweed,5,2022,5.2,50.2,6.6,568,32.2,2.16,24.4,22.2,1.04,1614,267,54,12,56
Native,1,2022,5.9,45.6,5.8,363,35.3,2.77,41.1,39.7,1.01,1533,225,47,15.2,65
Native,2,2022,5.2,37.4,6.8,603,27.2,2.03,20,11,0.56,1725,235,43,12.3,65
Native,3,2022,4.1,34.8,6.7,466,26.4,2.1,26.9,17.6,0.82,1504,260,59,11.1,73
Native,4,2022,4.4,56.2,6.6,480,26.7,2.09,24.5,23.3,0.98,1974,293,57,13.8,73
Native,5,2022,4.6,37.7,6.8,400,23.6,2.05,24.5,28.1,0.78,1447,233,50,10.4,59
LeafySpurge,1,2022,5.4,58.9,6.2,394,26.4,2.37,25.4,22.7,1.04,1633,281,43,14.4,70
LeafySpurge,2,2022,4.3,56.3,6.6,419,29.3,1.88,19.9,18.5,0.75,1453,271,49,10.8,66
LeafySpurge,3,2022,4,39.6,6.5,531,28.3,1.86,29.5,25.8,0.8,1634,262,63,14.2,55
LeafySpurge,4,2022,6.4,110,6.1,475,30.3,2.44,27.7,25.8,0.73,1994,327,62,16.4,79
LeafySpurge,5,2022,5.2,72.5,6.2,484,23.7,1.74,24.5,26.5,0.71,1574,290,55,14,53
Cinquefoil,1,2022,3.3,10.5,6.7,383,35,0.86,20.4,16.3,1.02,1521,281,50,11.1,49
Cinquefoil,2,2022,5.4,66.2,6.9,739,28.3,2.11,14.1,10.6,0.81,1940,307,45,14.3,74
Cinquefoil,3,2022,3.9,35.3,6.9,520,21.1,1.57,22.4,17.9,0.82,1706,313,56,12.7,75
Cinquefoil,4,2022,4.6,62.5,5.9,447,28.3,1.59,34.2,33.5,0.87,1649,243,55,14.5,58
Cinquefoil,5,2022,5.3,51.9,6.7,561,22.9,2.35,20.1,14.1,0.83,1653,278,58,12.3,53
Cheatgrass,1,2023,4.2,4.2,6.8,329,25.6,1.9,27.6,11.1,0.94,1508,239,58,10.6,40
Cheatgrass,2,2023,4.2,2,6.7,320,28.9,1.73,26.2,15.6,1.34,1459,247,61,10.4,46
Cheatgrass,3,2023,4.8,2.6,6.9,344,20.7,2.82,21.3,10.7,0.57,1626,308,63,11.9,48
Cheatgrass,4,2023,4.9,6.3,6.7,392,31.1,2.28,37.1,22,1.67,1574,256,83,11.4,65
Cheatgrass,5,2023,5.9,4.2,7,335,23.9,3.09,27.7,9.7,1.39,1890,339,90,13.5,65
Knapweed,1,2023,4.7,4.5,6.8,574,25.5,3.07,14.6,5.9,0.4,1815,276,51,13.1,58
Knapweed,2,2023,7.1,4.8,7,572,26.3,2.93,22.2,8.9,1.35,2006,326,63,14.5,67
Knapweed,3,2023,5.6,4.8,7.1,541,20.3,2.02,16.2,8.4,1.48,1781,298,57,13,60
Knapweed,4,2023,5.5,3.5,7,551,27,4.13,26.6,13.9,1.54,1867,276,76,13.4,54
Knapweed,5,2023,5.8,9.1,7,606,30.5,2.87,21.6,9.1,0.7,1968,308,76,14.3,78
Native,1,2023,5.1,4.1,6.9,538,26.8,2.11,21.3,9.6,1.32,1638,275,55,12.1,54
Native,2,2023,6.6,5.2,7,533,30.6,3.06,20,7.7,1.16,1498,270,49,11.3,74
Native,3,2023,4.5,2.7,6.9,423,26.5,2.81,27.5,11.8,0.8,1591,297,62,11.8,54
Native,4,2023,5.1,3.2,6.9,506,20.6,4.42,15.4,12,0.63,1699,330,61,12.8,52
Native,5,2023,6.2,6.7,7,522,31,2.61,27.1,13.6,1.4,1843,314,87,13.6,69
LeafySpurge,1,2023,3.8,4.1,6.8,431,27.5,3.28,27.7,15.8,0.86,1551,236,49,11,64
LeafySpurge,2,2023,4,3.2,6.9,432,27.2,6.16,22.3,9.2,0.76,1854,316,66,13.3,58
LeafySpurge,3,2023,4.5,6.3,6.9,593,25.1,2.69,18.5,10.3,0.62,1754,299,55,13,76
LeafySpurge,4,2023,4,3.1,7.1,452,28.3,5.17,23.1,11.9,1.73,1621,294,58,12,69
LeafySpurge,5,2023,6.2,5.8,7,555,27.4,2.87,20.8,7,0.56,2037,364,87,15,80
Cinquefoil,1,2023,5.3,15.8,6.8,393,29.8,4.23,21.7,9.9,0.72,1674,281,55,12,75
Cinquefoil,2,2023,6.2,4.2,6.9,484,29.6,4.15,22.3,8.7,0.64,1750,284,47,12.6,75
Cinquefoil,3,2023,3.6,5.8,7.4,484,27.1,1.78,12.3,8.4,1.67,1580,268,58,11.6,56
Cinquefoil,4,2023,5.2,8.3,6.9,494,26,1.5,18,8.6,0.65,1875,321,74,13.6,73
Cinquefoil,5,2023,5.2,6.3,6.9,466,25.4,3.21,24.7,8.3,0.61,1880,396,77,14.2,75